epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1886.38,0,104.446,0,0,0,0,0,0,142.088,0,0.000331224,0.000331224,0.000331224
2,3274.24,0,72.9719,0,0,0,0,0,0,101.463,0,0.000651399,0.000651399,0.000651399
3,4631.95,0,41.0386,0,0,0,0,0,0,44.6125,0,0.000958374,0.000958374,0.000958374
4,5956.52,0,16.3964,0,0,0,0,0,0,14.6254,0,0.0009406,0.0009406,0.0009406
5,7282.51,0,5.0461,0,0,0,0,0,0,3.74172,0,0.0009208,0.0009208,0.0009208
6,8599.53,0,1.29295,0,0,0,0,0,0,0.79618,0,0.000901,0.000901,0.000901
7,9912.23,0,0.24819,0,0,0,0,0,0,3.24846,0,0.0008812,0.0008812,0.0008812
8,11201.1,0,0.03322,0,0,0,0,0,0,0.21845,0,0.0008614,0.0008614,0.0008614
9,12501.6,0,0.00704,0,0,0,0,0,0,0.00033,0,0.0008416,0.0008416,0.0008416
10,13797.2,0,4e-05,0,0,0,0,0,0,0,0,0.0008218,0.0008218,0.0008218
11,15084.3,0,0,0,0,0,0,0,0,0.00038,0,0.000802,0.000802,0.000802
12,16411.6,0,0,0,0,0,0,0,0,0,0,0.0007822,0.0007822,0.0007822
13,17707.3,0,0,0,0,0,0,0,0,0,0,0.0007624,0.0007624,0.0007624
14,19003.8,0,0,0,0,0,0,0,0,0,0,0.0007426,0.0007426,0.0007426
15,20301.4,0,0.00101,0,0,0,0,0,0,0.00011,0,0.0007228,0.0007228,0.0007228
16,21596.1,0,0,0,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
17,22896.3,0,0,0,0,0,0,0,0,0,0,0.0006832,0.0006832,0.0006832
18,24223.8,0,0,0,0,0,0,0,0,0,0,0.0006634,0.0006634,0.0006634
